ID	Symbol	Type
Prkab1	ENSMUSG00000029513	Prkab1	Gene Expression
Gm13842	ENSMUSG00000084992	Gm13842	Gene Expression
Tmem233	ENSMUSG00000079278	Tmem233	Gene Expression
C330018A13Rik	ENSMUSG00000086655	C330018A13Rik	Gene Expression
Ccdc60	ENSMUSG00000043913	Ccdc60	Gene Expression
Gm13839	ENSMUSG00000087124	Gm13839	Gene Expression
B230112J18Rik	ENSMUSG00000086715	B230112J18Rik	Gene Expression
4933424N20Rik	ENSMUSG00000106766	4933424N20Rik	Gene Expression
4930562A09Rik	ENSMUSG00000086945	4930562A09Rik	Gene Expression
Hspb8	ENSMUSG00000041548	Hspb8	Gene Expression
Srrm4	ENSMUSG00000063919	Srrm4	Gene Expression
Gm42853	ENSMUSG00000107021	Gm42853	Gene Expression
4933430H06Rik	ENSMUSG00000107172	4933430H06Rik	Gene Expression
Gm42854	ENSMUSG00000106914	Gm42854	Gene Expression
Gm43122	ENSMUSG00000106909	Gm43122	Gene Expression
Gm29926	ENSMUSG00000107237	Gm29926	Gene Expression
Suds3	ENSMUSG00000066900	Suds3	Gene Expression
9530046B11Rik	ENSMUSG00000086047	9530046B11Rik	Gene Expression
Taok3	ENSMUSG00000061288	Taok3	Gene Expression
Gm43637	ENSMUSG00000107225	Gm43637	Gene Expression
Pebp1	ENSMUSG00000032959	Pebp1	Gene Expression
Gm3786	ENSMUSG00000106829	Gm3786	Gene Expression
Gm42546	ENSMUSG00000106714	Gm42546	Gene Expression
BC051077	ENSMUSG00000097163	BC051077	Gene Expression
Gm10399	ENSMUSG00000072688	Gm10399	Gene Expression
Vsig10	ENSMUSG00000066894	Vsig10	Gene Expression
Gm15727	ENSMUSG00000081274	Gm15727	Gene Expression
Wsb2	ENSMUSG00000029364	Wsb2	Gene Expression
Rfc5	ENSMUSG00000029363	Rfc5	Gene Expression
Gm15728	ENSMUSG00000086075	Gm15728	Gene Expression
Ksr2	ENSMUSG00000061578	Ksr2	Gene Expression
Nos1	ENSMUSG00000029361	Nos1	Gene Expression
Fbxo21	ENSMUSG00000032898	Fbxo21	Gene Expression
Tesc	ENSMUSG00000029359	Tesc	Gene Expression
Fbxw8	ENSMUSG00000032867	Fbxw8	Gene Expression
Gm9754	ENSMUSG00000029360	Gm9754	Gene Expression
Hrk	ENSMUSG00000046607	Hrk	Gene Expression
Rnft2	ENSMUSG00000032850	Rnft2	Gene Expression
2410131K14Rik	ENSMUSG00000032840	2410131K14Rik	Gene Expression
Gm28563	ENSMUSG00000106812	Gm28563	Gene Expression
Gm15754	ENSMUSG00000082365	Gm15754	Gene Expression
Med13l	ENSMUSG00000018076	Med13l	Gene Expression
Gm43785	ENSMUSG00000106912	Gm43785	Gene Expression
Gm43788	ENSMUSG00000107286	Gm43788	Gene Expression
Gm43275	ENSMUSG00000106798	Gm43275	Gene Expression
Gm43274	ENSMUSG00000107116	Gm43274	Gene Expression
Gm43051	ENSMUSG00000107364	Gm43051	Gene Expression
Gm43782	ENSMUSG00000106708	Gm43782	Gene Expression
Gm43342	ENSMUSG00000106745	Gm43342	Gene Expression
4930413E15Rik	ENSMUSG00000107144	4930413E15Rik	Gene Expression
Gm43784	ENSMUSG00000107371	Gm43784	Gene Expression
1700081H04Rik	ENSMUSG00000100573	1700081H04Rik	Gene Expression
Gm31314	ENSMUSG00000106938	Gm31314	Gene Expression
Tbx3os1	ENSMUSG00000087516	Tbx3os1	Gene Expression
Gm43399	ENSMUSG00000106991	Gm43399	Gene Expression
Gm16063	ENSMUSG00000085708	Gm16063	Gene Expression
Gm16064	ENSMUSG00000085345	Gm16064	Gene Expression
Tbx3	ENSMUSG00000018604	Tbx3	Gene Expression
1700021F13Rik	ENSMUSG00000107053	1700021F13Rik	Gene Expression
Tbx5	ENSMUSG00000018263	Tbx5	Gene Expression
Gm43269	ENSMUSG00000107084	Gm43269	Gene Expression
Gm38554	ENSMUSG00000107063	Gm38554	Gene Expression
Rbm19	ENSMUSG00000029594	Rbm19	Gene Expression
Gm42655	ENSMUSG00000106915	Gm42655	Gene Expression
Gm42654	ENSMUSG00000107141	Gm42654	Gene Expression
Lhx5	ENSMUSG00000029595	Lhx5	Gene Expression
Sdsl	ENSMUSG00000029596	Sdsl	Gene Expression
Sds	ENSMUSG00000029597	Sds	Gene Expression
Gm15690	ENSMUSG00000086165	Gm15690	Gene Expression
Plbd2	ENSMUSG00000029598	Plbd2	Gene Expression
Slc8b1	ENSMUSG00000032754	Slc8b1	Gene Expression
Tpcn1	ENSMUSG00000032741	Tpcn1	Gene Expression
2510016D11Rik	ENSMUSG00000106825	2510016D11Rik	Gene Expression
Iqcd	ENSMUSG00000029601	Iqcd	Gene Expression
Rita1	ENSMUSG00000029600	Rita1	Gene Expression
Ddx54	ENSMUSG00000029599	Ddx54	Gene Expression
Gm43579	ENSMUSG00000107191	Gm43579	Gene Expression
Cfap73	ENSMUSG00000094282	Cfap73	Gene Expression
Gm42657	ENSMUSG00000107004	Gm42657	Gene Expression
Rasal1	ENSMUSG00000029602	Rasal1	Gene Expression
Dtx1	ENSMUSG00000029603	Dtx1	Gene Expression
Oas2	ENSMUSG00000032690	Oas2	Gene Expression
Gm43069	ENSMUSG00000107179	Gm43069	Gene Expression
Oas1c	ENSMUSG00000001166	Oas1c	Gene Expression
Oas1b	ENSMUSG00000029605	Oas1b	Gene Expression
Oas1h	ENSMUSG00000001168	Oas1h	Gene Expression
Oas1g	ENSMUSG00000066861	Oas1g	Gene Expression
Rph3a	ENSMUSG00000029608	Rph3a	Gene Expression
Gm42656	ENSMUSG00000106841	Gm42656	Gene Expression
Ptpn11	ENSMUSG00000043733	Ptpn11	Gene Expression
Gm42930	ENSMUSG00000106940	Gm42930	Gene Expression
Rpl6	ENSMUSG00000029614	Rpl6	Gene Expression
Hectd4	ENSMUSG00000042744	Hectd4	Gene Expression
Trafd1	ENSMUSG00000042726	Trafd1	Gene Expression
Gm42917	ENSMUSG00000104985	Gm42917	Gene Expression
Gm42918	ENSMUSG00000106209	Gm42918	Gene Expression
Naa25	ENSMUSG00000042719	Naa25	Gene Expression
Gm43420	ENSMUSG00000106115	Gm43420	Gene Expression
Erp29	ENSMUSG00000029616	Erp29	Gene Expression
Tmem116	ENSMUSG00000029452	Tmem116	Gene Expression
Gm15546	ENSMUSG00000082760	Gm15546	Gene Expression
Adam1b	ENSMUSG00000062438	Adam1b	Gene Expression
4930477O15Rik	ENSMUSG00000104999	4930477O15Rik	Gene Expression
Adam1a	ENSMUSG00000072647	Adam1a	Gene Expression
Mapkapk5	ENSMUSG00000029454	Mapkapk5	Gene Expression
Gm15547	ENSMUSG00000082265	Gm15547	Gene Expression
Aldh2	ENSMUSG00000029455	Aldh2	Gene Expression
Gm42879	ENSMUSG00000106590	Gm42879	Gene Expression
Acad12	ENSMUSG00000042647	Acad12	Gene Expression
Acad10	ENSMUSG00000029456	Acad10	Gene Expression
Brap	ENSMUSG00000029458	Brap	Gene Expression
Atxn2	ENSMUSG00000042605	Atxn2	Gene Expression
Gm43571	ENSMUSG00000106110	Gm43571	Gene Expression
Gm16552	ENSMUSG00000089729	Gm16552	Gene Expression
Gm42866	ENSMUSG00000105179	Gm42866	Gene Expression
Sh2b3	ENSMUSG00000042594	Sh2b3	Gene Expression
1700008B11Rik	ENSMUSG00000104872	1700008B11Rik	Gene Expression
4933437G19Rik	ENSMUSG00000104719	4933437G19Rik	Gene Expression
Pheta1	ENSMUSG00000044134	Pheta1	Gene Expression
Cux2	ENSMUSG00000042589	Cux2	Gene Expression
Gm3970	ENSMUSG00000105795	Gm3970	Gene Expression
Gm15637	ENSMUSG00000087386	Gm15637	Gene Expression
Myl2	ENSMUSG00000013936	Myl2	Gene Expression
Ccdc63	ENSMUSG00000043036	Ccdc63	Gene Expression
Ppp1cc	ENSMUSG00000004455	Ppp1cc	Gene Expression
Gm42748	ENSMUSG00000105742	Gm42748	Gene Expression
Hvcn1	ENSMUSG00000064267	Hvcn1	Gene Expression
Tctn1	ENSMUSG00000038593	Tctn1	Gene Expression
Gm15481	ENSMUSG00000082645	Gm15481	Gene Expression
Pptc7	ENSMUSG00000038582	Pptc7	Gene Expression
Gm15842	ENSMUSG00000083909	Gm15842	Gene Expression
Rad9b	ENSMUSG00000038569	Rad9b	Gene Expression
Vps29	ENSMUSG00000029462	Vps29	Gene Expression
Fam216a	ENSMUSG00000029463	Fam216a	Gene Expression
Gpn3	ENSMUSG00000029464	Gpn3	Gene Expression
Gm42830	ENSMUSG00000104916	Gm42830	Gene Expression
Arpc3	ENSMUSG00000029465	Arpc3	Gene Expression
Gm42829	ENSMUSG00000105895	Gm42829	Gene Expression
Anapc7	ENSMUSG00000029466	Anapc7	Gene Expression
Gm15846	ENSMUSG00000079906	Gm15846	Gene Expression
Atp2a2	ENSMUSG00000029467	Atp2a2	Gene Expression
Gm43359	ENSMUSG00000105434	Gm43359	Gene Expression
Gm43360	ENSMUSG00000105970	Gm43360	Gene Expression
Gm43361	ENSMUSG00000106375	Gm43361	Gene Expression
Ift81	ENSMUSG00000029469	Ift81	Gene Expression
Gm43541	ENSMUSG00000105815	Gm43541	Gene Expression
Gm43301	ENSMUSG00000105430	Gm43301	Gene Expression
P2rx7	ENSMUSG00000029468	P2rx7	Gene Expression
P2rx4	ENSMUSG00000029470	P2rx4	Gene Expression
Camkk2	ENSMUSG00000029471	Camkk2	Gene Expression
Gm43684	ENSMUSG00000105613	Gm43684	Gene Expression
Anapc5	ENSMUSG00000029472	Anapc5	Gene Expression
Rnf34	ENSMUSG00000029474	Rnf34	Gene Expression
Kdm2b	ENSMUSG00000029475	Kdm2b	Gene Expression
Gm43411	ENSMUSG00000105979	Gm43411	Gene Expression
A930024E05Rik	ENSMUSG00000056735	A930024E05Rik	Gene Expression
Gm2479	ENSMUSG00000106555	Gm2479	Gene Expression
Orai1	ENSMUSG00000049686	Orai1	Gene Expression
Morn3	ENSMUSG00000029477	Morn3	Gene Expression
Gm43412	ENSMUSG00000105107	Gm43412	Gene Expression
Gm26745	ENSMUSG00000097213	Gm26745	Gene Expression
Gm6444	ENSMUSG00000080836	Gm6444	Gene Expression
Tmem120b	ENSMUSG00000054434	Tmem120b	Gene Expression
Rhof	ENSMUSG00000029449	Rhof	Gene Expression
Gm43413	ENSMUSG00000104951	Gm43413	Gene Expression
AI480526	ENSMUSG00000090086	AI480526	Gene Expression
Gm38102	ENSMUSG00000104156	Gm38102	Gene Expression
4932422M17Rik	ENSMUSG00000105881	4932422M17Rik	Gene Expression
Setd1b	ENSMUSG00000038384	Setd1b	Gene Expression
Psmd9	ENSMUSG00000029440	Psmd9	Gene Expression
Hpd	ENSMUSG00000029445	Hpd	Gene Expression
Gm43409	ENSMUSG00000104606	Gm43409	Gene Expression
Wdr66	ENSMUSG00000029442	Wdr66	Gene Expression
Gm15857	ENSMUSG00000087063	Gm15857	Gene Expression
Gm15860	ENSMUSG00000087336	Gm15860	Gene Expression
Bcl7a	ENSMUSG00000029438	Bcl7a	Gene Expression
5830487J09Rik	ENSMUSG00000104830	5830487J09Rik	Gene Expression
Gm15747	ENSMUSG00000086700	Gm15747	Gene Expression
Mlxip	ENSMUSG00000038342	Mlxip	Gene Expression
Gm42907	ENSMUSG00000106254	Gm42907	Gene Expression
Gm42908	ENSMUSG00000104940	Gm42908	Gene Expression
Gm43813	ENSMUSG00000106636	Gm43813	Gene Expression
Rpl31-ps6	ENSMUSG00000082532	Rpl31-ps6	Gene Expression
Il31	ENSMUSG00000029437	Il31	Gene Expression
Lrrc43	ENSMUSG00000063409	Lrrc43	Gene Expression
Gm15751	ENSMUSG00000086753	Gm15751	Gene Expression
Diablo	ENSMUSG00000029433	Diablo	Gene Expression
B3gnt4	ENSMUSG00000029431	B3gnt4	Gene Expression
Gm49027	ENSMUSG00000114278	Gm49027	Gene Expression
Gm24682	ENSMUSG00000089389	Gm24682	Gene Expression
Vps33a	ENSMUSG00000029434	Vps33a	Gene Expression
Gm43133	ENSMUSG00000104704	Gm43133	Gene Expression
Clip1	ENSMUSG00000049550	Clip1	Gene Expression
Gm42651	ENSMUSG00000104877	Gm42651	Gene Expression
Gm43797	ENSMUSG00000104694	Gm43797	Gene Expression
Zcchc8	ENSMUSG00000029427	Zcchc8	Gene Expression
Rsrc2	ENSMUSG00000029422	Rsrc2	Gene Expression
Kntc1	ENSMUSG00000029414	Kntc1	Gene Expression
Hcar2	ENSMUSG00000045502	Hcar2	Gene Expression
Hcar1	ENSMUSG00000049241	Hcar1	Gene Expression
Denr	ENSMUSG00000023106	Denr	Gene Expression
Gm43518	ENSMUSG00000105875	Gm43518	Gene Expression
Ccdc62	ENSMUSG00000061882	Ccdc62	Gene Expression
Hip1r	ENSMUSG00000000915	Hip1r	Gene Expression
Vps37b	ENSMUSG00000066278	Vps37b	Gene Expression
Gm37939	ENSMUSG00000102725	Gm37939	Gene Expression
Gm34086	ENSMUSG00000106261	Gm34086	Gene Expression
Abcb9	ENSMUSG00000029408	Abcb9	Gene Expression
Gm16001	ENSMUSG00000085433	Gm16001	Gene Expression
Ogfod2	ENSMUSG00000023707	Ogfod2	Gene Expression
Arl6ip4	ENSMUSG00000029404	Arl6ip4	Gene Expression
Pitpnm2	ENSMUSG00000029406	Pitpnm2	Gene Expression
Pitpnm2os2	ENSMUSG00000089842	Pitpnm2os2	Gene Expression
Pitpnm2os1	ENSMUSG00000090220	Pitpnm2os1	Gene Expression
Gm42425	ENSMUSG00000105759	Gm42425	Gene Expression
Mphosph9	ENSMUSG00000038126	Mphosph9	Gene Expression
Gm43339	ENSMUSG00000105382	Gm43339	Gene Expression
Gm43340	ENSMUSG00000105228	Gm43340	Gene Expression
2810006K23Rik	ENSMUSG00000047635	2810006K23Rik	Gene Expression
Cdk2ap1	ENSMUSG00000029394	Cdk2ap1	Gene Expression
Sbno1	ENSMUSG00000038095	Sbno1	Gene Expression
Gm37415	ENSMUSG00000103864	Gm37415	Gene Expression
Kmt5a	ENSMUSG00000049327	Kmt5a	Gene Expression
Rilpl2	ENSMUSG00000029401	Rilpl2	Gene Expression
Gm15621	ENSMUSG00000082402	Gm15621	Gene Expression
Snrnp35	ENSMUSG00000029402	Snrnp35	Gene Expression
Rilpl1	ENSMUSG00000029392	Rilpl1	Gene Expression
Gm43034	ENSMUSG00000106662	Gm43034	Gene Expression
Tmed2	ENSMUSG00000029390	Tmed2	Gene Expression
Ddx55	ENSMUSG00000029389	Ddx55	Gene Expression
Eif2b1	ENSMUSG00000029388	Eif2b1	Gene Expression
Gtf2h3	ENSMUSG00000029387	Gtf2h3	Gene Expression
Tctn2	ENSMUSG00000029386	Tctn2	Gene Expression
Atp6v0a2	ENSMUSG00000038023	Atp6v0a2	Gene Expression
4930404A12Rik	ENSMUSG00000106082	4930404A12Rik	Gene Expression
Dnah10	ENSMUSG00000038011	Dnah10	Gene Expression
Ccdc92	ENSMUSG00000037979	Ccdc92	Gene Expression
Zfp664	ENSMUSG00000079215	Zfp664	Gene Expression
Rflna	ENSMUSG00000037962	Rflna	Gene Expression
Ncor2	ENSMUSG00000029478	Ncor2	Gene Expression
Gm32585	ENSMUSG00000105039	Gm32585	Gene Expression
Scarb1	ENSMUSG00000037936	Scarb1	Gene Expression
Gm42633	ENSMUSG00000106458	Gm42633	Gene Expression
Gm40323	ENSMUSG00000104932	Gm40323	Gene Expression
Ubc	ENSMUSG00000008348	Ubc	Gene Expression
Gm10382	ENSMUSG00000072612	Gm10382	Gene Expression
Dhx37	ENSMUSG00000029480	Dhx37	Gene Expression
Gm43752	ENSMUSG00000106271	Gm43752	Gene Expression
Bri3bp	ENSMUSG00000037905	Bri3bp	Gene Expression
Gm43756	ENSMUSG00000104793	Gm43756	Gene Expression
Aacs	ENSMUSG00000029482	Aacs	Gene Expression
Tmem132b	ENSMUSG00000070498	Tmem132b	Gene Expression
Gm4868	ENSMUSG00000091970	Gm4868	Gene Expression
1700048F04Rik	ENSMUSG00000105274	1700048F04Rik	Gene Expression
Gm42952	ENSMUSG00000105593	Gm42952	Gene Expression
Gm23151	ENSMUSG00000094875	Gm23151	Gene Expression
Gm37700	ENSMUSG00000104175	Gm37700	Gene Expression
Gm40330	ENSMUSG00000104825	Gm40330	Gene Expression
1700081B01Rik	ENSMUSG00000105673	1700081B01Rik	Gene Expression
Gm33347	ENSMUSG00000106235	Gm33347	Gene Expression
Gm40331	ENSMUSG00000106644	Gm40331	Gene Expression
Gm42955	ENSMUSG00000105782	Gm42955	Gene Expression
4933438B17Rik	ENSMUSG00000105490	4933438B17Rik	Gene Expression
4930572K03Rik	ENSMUSG00000105308	4930572K03Rik	Gene Expression
Gm43476	ENSMUSG00000104778	Gm43476	Gene Expression
Tmem132c	ENSMUSG00000034324	Tmem132c	Gene Expression
Tmem132cos	ENSMUSG00000087104	Tmem132cos	Gene Expression
9430087B13Rik	ENSMUSG00000104971	9430087B13Rik	Gene Expression
Slc15a4	ENSMUSG00000029416	Slc15a4	Gene Expression
Gm43474	ENSMUSG00000105362	Gm43474	Gene Expression
Glt1d1	ENSMUSG00000049971	Glt1d1	Gene Expression
Tmem132d	ENSMUSG00000034310	Tmem132d	Gene Expression
Gm42817	ENSMUSG00000105857	Gm42817	Gene Expression
Gm42495	ENSMUSG00000106275	Gm42495	Gene Expression
4930573I07Rik	ENSMUSG00000104980	4930573I07Rik	Gene Expression
Gm42499	ENSMUSG00000105172	Gm42499	Gene Expression
5930412G12Rik	ENSMUSG00000072591	5930412G12Rik	Gene Expression
Gm42498	ENSMUSG00000105059	Gm42498	Gene Expression
Fzd10	ENSMUSG00000081683	Fzd10	Gene Expression
Piwil1	ENSMUSG00000029423	Piwil1	Gene Expression
4930553I04Rik	ENSMUSG00000105483	4930553I04Rik	Gene Expression
Rimbp2	ENSMUSG00000029420	Rimbp2	Gene Expression
Gm42875	ENSMUSG00000105271	Gm42875	Gene Expression
Stx2	ENSMUSG00000029428	Stx2	Gene Expression
Ran	ENSMUSG00000029430	Ran	Gene Expression
Adgrd1	ENSMUSG00000044017	Adgrd1	Gene Expression
Rps16-ps2	ENSMUSG00000060419	Rps16-ps2	Gene Expression
Gm43001	ENSMUSG00000104681	Gm43001	Gene Expression
Gm40332	ENSMUSG00000104873	Gm40332	Gene Expression
Sfswap	ENSMUSG00000029439	Sfswap	Gene Expression
Gm42979	ENSMUSG00000104814	Gm42979	Gene Expression
Mmp17	ENSMUSG00000029436	Mmp17	Gene Expression
Zfp11	ENSMUSG00000051034	Zfp11	Gene Expression
Sept14	ENSMUSG00000034219	Sept14	Gene Expression
Mrps17	ENSMUSG00000034211	Mrps17	Gene Expression
Nipsnap2	ENSMUSG00000029432	Nipsnap2	Gene Expression
Gm15903	ENSMUSG00000086916	Gm15903	Gene Expression
Psph	ENSMUSG00000029446	Psph	Gene Expression
Cct6a	ENSMUSG00000029447	Cct6a	Gene Expression
Gm23245	ENSMUSG00000065304	Gm23245	Gene Expression
Sumf2	ENSMUSG00000025538	Sumf2	Gene Expression
Phkg1	ENSMUSG00000025537	Phkg1	Gene Expression
Gm42790	ENSMUSG00000106840	Gm42790	Gene Expression
Chchd2	ENSMUSG00000070493	Chchd2	Gene Expression
Zbed5	ENSMUSG00000034173	Zbed5	Gene Expression
Nupr1l	ENSMUSG00000095789	Nupr1l	Gene Expression
Vkorc1l1	ENSMUSG00000066735	Vkorc1l1	Gene Expression
Gm42986	ENSMUSG00000107118	Gm42986	Gene Expression
Gm43482	ENSMUSG00000106757	Gm43482	Gene Expression
Gusb	ENSMUSG00000025534	Gusb	Gene Expression
Asl	ENSMUSG00000025533	Asl	Gene Expression
Crcp	ENSMUSG00000025532	Crcp	Gene Expression
Tpst1	ENSMUSG00000034118	Tpst1	Gene Expression
2210412B16Rik	ENSMUSG00000107216	2210412B16Rik	Gene Expression
Kctd7	ENSMUSG00000034110	Kctd7	Gene Expression
Rabgef1	ENSMUSG00000025340	Rabgef1	Gene Expression
Gm15920	ENSMUSG00000080893	Gm15920	Gene Expression
Gm15921	ENSMUSG00000094092	Gm15921	Gene Expression
Tmem248	ENSMUSG00000053094	Tmem248	Gene Expression
Gm6598	ENSMUSG00000107143	Gm6598	Gene Expression
Gm42467	ENSMUSG00000106751	Gm42467	Gene Expression
Sbds	ENSMUSG00000025337	Sbds	Gene Expression
Tyw1	ENSMUSG00000056310	Tyw1	Gene Expression
Caln1	ENSMUSG00000060371	Caln1	Gene Expression
A330070K13Rik	ENSMUSG00000052014	A330070K13Rik	Gene Expression
Gm42894	ENSMUSG00000106694	Gm42894	Gene Expression
Galnt17	ENSMUSG00000034040	Galnt17	Gene Expression
Gm42897	ENSMUSG00000107207	Gm42897	Gene Expression
Gm42896	ENSMUSG00000107295	Gm42896	Gene Expression
Gm29681	ENSMUSG00000105387	Gm29681	Gene Expression
Auts2	ENSMUSG00000029673	Auts2	Gene Expression
Gm42589	ENSMUSG00000105470	Gm42589	Gene Expression
Gm42588	ENSMUSG00000105584	Gm42588	Gene Expression
Gm42591	ENSMUSG00000105500	Gm42591	Gene Expression
Gm43483	ENSMUSG00000105289	Gm43483	Gene Expression
Gm42443	ENSMUSG00000105726	Gm42443	Gene Expression
Gm42442	ENSMUSG00000106557	Gm42442	Gene Expression
4930563F08Rik	ENSMUSG00000105773	4930563F08Rik	Gene Expression
C230071H17Rik	ENSMUSG00000106570	C230071H17Rik	Gene Expression
Gm42441	ENSMUSG00000106516	Gm42441	Gene Expression
Gm42440	ENSMUSG00000105720	Gm42440	Gene Expression
Gm42439	ENSMUSG00000106395	Gm42439	Gene Expression
Gm42438	ENSMUSG00000106356	Gm42438	Gene Expression
Gm42991	ENSMUSG00000106386	Gm42991	Gene Expression
Gm42992	ENSMUSG00000106320	Gm42992	Gene Expression
2610011E03Rik	ENSMUSG00000104936	2610011E03Rik	Gene Expression
Gm42993	ENSMUSG00000105985	Gm42993	Gene Expression
Gm42995	ENSMUSG00000105495	Gm42995	Gene Expression
Gm42996	ENSMUSG00000106045	Gm42996	Gene Expression
Gm42989	ENSMUSG00000104994	Gm42989	Gene Expression
Gm43019	ENSMUSG00000106049	Gm43019	Gene Expression
Gm43018	ENSMUSG00000106450	Gm43018	Gene Expression
Gm43187	ENSMUSG00000105624	Gm43187	Gene Expression
Gm43188	ENSMUSG00000106384	Gm43188	Gene Expression
Gm43186	ENSMUSG00000105598	Gm43186	Gene Expression
Gm10051	ENSMUSG00000058905	Gm10051	Gene Expression
Gm36667	ENSMUSG00000105227	Gm36667	Gene Expression
1700030N18Rik	ENSMUSG00000106800	1700030N18Rik	Gene Expression
Gm15627	ENSMUSG00000087344	Gm15627	Gene Expression
Castor2	ENSMUSG00000015944	Castor2	Gene Expression
Rcc1l	ENSMUSG00000061979	Rcc1l	Gene Expression
B230377A18Rik	ENSMUSG00000104195	B230377A18Rik	Gene Expression
Gtf2ird2	ENSMUSG00000015942	Gtf2ird2	Gene Expression
Ncf1	ENSMUSG00000015950	Ncf1	Gene Expression
Gtf2i	ENSMUSG00000060261	Gtf2i	Gene Expression
Gm43481	ENSMUSG00000107000	Gm43481	Gene Expression
Gm43480	ENSMUSG00000107076	Gm43480	Gene Expression
Gtf2ird1	ENSMUSG00000023079	Gtf2ird1	Gene Expression
Gm42882	ENSMUSG00000106969	Gm42882	Gene Expression
Gm16020	ENSMUSG00000072576	Gm16020	Gene Expression
Gm42885	ENSMUSG00000106802	Gm42885	Gene Expression
Clip2	ENSMUSG00000063146	Clip2	Gene Expression
2700029L08Rik	ENSMUSG00000106691	2700029L08Rik	Gene Expression
Gm42884	ENSMUSG00000107090	Gm42884	Gene Expression
Syna	ENSMUSG00000085957	Syna	Gene Expression
Rfc2	ENSMUSG00000023104	Rfc2	Gene Expression
Lat2	ENSMUSG00000040751	Lat2	Gene Expression
Eif4h	ENSMUSG00000040731	Eif4h	Gene Expression
Limk1	ENSMUSG00000029674	Limk1	Gene Expression
Gm10369	ENSMUSG00000072573	Gm10369	Gene Expression
Eln	ENSMUSG00000029675	Eln	Gene Expression
Gm30003	ENSMUSG00000107318	Gm30003	Gene Expression
Tmem270	ENSMUSG00000040576	Tmem270	Gene Expression
Cldn13	ENSMUSG00000008843	Cldn13	Gene Expression
4933439J24Rik	ENSMUSG00000107322	4933439J24Rik	Gene Expression
9030607J07Rik	ENSMUSG00000107005	9030607J07Rik	Gene Expression
Mettl27	ENSMUSG00000040557	Mettl27	Gene Expression
Cldn4	ENSMUSG00000047501	Cldn4	Gene Expression
Cldn3	ENSMUSG00000070473	Cldn3	Gene Expression
Wbscr25	ENSMUSG00000054909	Wbscr25	Gene Expression
Rps29-ps	ENSMUSG00000084392	Rps29-ps	Gene Expression
Gm43372	ENSMUSG00000107335	Gm43372	Gene Expression
Abhd11	ENSMUSG00000040532	Abhd11	Gene Expression
Abhd11os	ENSMUSG00000085042	Abhd11os	Gene Expression
Stx1a	ENSMUSG00000007207	Stx1a	Gene Expression
Bud23	ENSMUSG00000005378	Bud23	Gene Expression
Dnajc30	ENSMUSG00000061118	Dnajc30	Gene Expression
Vps37d	ENSMUSG00000043614	Vps37d	Gene Expression
Mlxipl	ENSMUSG00000005373	Mlxipl	Gene Expression
Tbl2	ENSMUSG00000005374	Tbl2	Gene Expression
Bcl7b	ENSMUSG00000029681	Bcl7b	Gene Expression
Baz1b	ENSMUSG00000002748	Baz1b	Gene Expression
Fzd9	ENSMUSG00000049551	Fzd9	Gene Expression
9430007M09Rik	ENSMUSG00000106913	9430007M09Rik	Gene Expression
Fkbp6	ENSMUSG00000040013	Fkbp6	Gene Expression
Trim50	ENSMUSG00000053388	Trim50	Gene Expression
Nsun5	ENSMUSG00000000916	Nsun5	Gene Expression
Pom121	ENSMUSG00000053293	Pom121	Gene Expression
Hip1	ENSMUSG00000039959	Hip1	Gene Expression
Gm42731	ENSMUSG00000106758	Gm42731	Gene Expression
Ccl26	ENSMUSG00000070464	Ccl26	Gene Expression
Ccl24	ENSMUSG00000004814	Ccl24	Gene Expression
Gm43123	ENSMUSG00000107029	Gm43123	Gene Expression
Rhbdd2	ENSMUSG00000039917	Rhbdd2	Gene Expression
Gm15607	ENSMUSG00000082001	Gm15607	Gene Expression
Gm21839	ENSMUSG00000094372	Gm21839	Gene Expression
Gm43091	ENSMUSG00000105239	Gm43091	Gene Expression
Por	ENSMUSG00000005514	Por	Gene Expression
Gm16061	ENSMUSG00000080972	Gm16061	Gene Expression
Tmem120a	ENSMUSG00000039886	Tmem120a	Gene Expression
Styxl1	ENSMUSG00000019178	Styxl1	Gene Expression
Mdh2	ENSMUSG00000019179	Mdh2	Gene Expression
Srrm3	ENSMUSG00000039860	Srrm3	Gene Expression
Srrm3os	ENSMUSG00000085026	Srrm3os	Gene Expression
Hspb1	ENSMUSG00000004951	Hspb1	Gene Expression
Ywhag	ENSMUSG00000051391	Ywhag	Gene Expression
Ssc4d	ENSMUSG00000029699	Ssc4d	Gene Expression
Zp3	ENSMUSG00000004948	Zp3	Gene Expression
Dtx2	ENSMUSG00000004947	Dtx2	Gene Expression
Upk3b	ENSMUSG00000042985	Upk3b	Gene Expression
Upk3bl	ENSMUSG00000006143	Upk3bl	Gene Expression
Rasa4	ENSMUSG00000004952	Rasa4	Gene Expression
Gm15701	ENSMUSG00000086656	Gm15701	Gene Expression
Polr2j	ENSMUSG00000039771	Polr2j	Gene Expression
Gm43604	ENSMUSG00000105349	Gm43604	Gene Expression
Lrwd1	ENSMUSG00000029703	Lrwd1	Gene Expression
Alkbh4	ENSMUSG00000039754	Alkbh4	Gene Expression
Orai2	ENSMUSG00000039747	Orai2	Gene Expression
Prkrip1	ENSMUSG00000039737	Prkrip1	Gene Expression
Gm5050	ENSMUSG00000106243	Gm5050	Gene Expression
Sh2b2	ENSMUSG00000005057	Sh2b2	Gene Expression
