,gene,chrom
5072,Dcn,chr10
5074,Dcp1a,chr14
5076,Dcp1b,chr6
5078,Dcp2,chr18
5080,Dcps,chr9
5082,Dctd,chr8
5084,Dctn1,chr6
5086,Dctn2,chr10
5088,Dctn3,chr4
5090,Dctn4,chr18
5092,Dctn5,chr7
5094,Dctn6,chr8
5096,Dcun1d1,chr3
5098,Dcun1d2,chr8
5100,Dcun1d3,chr7
5102,Dcun1d4,chr5
5104,Dcun1d5,chr9
5106,Ddah1,chr3
5108,Ddah2,chr17
5110,Ddb1,chr19
5112,Ddb2,chr2
5114,Ddc,chr11
5116,Ddhd1,chr14
5118,Ddhd2,chr8
5120,Ddi2,chr4
5122,Ddit4,chr10
5124,Ddit4l,chr3
5126,Ddost,chr4
5128,Ddr1,chr17
5130,Ddr2,chr1
5132,Ddrgk1,chr2
5134,Ddx10,chr9
5136,Ddx11,chr17
5138,Ddx17,chr15
5140,Ddx18,chr1
5142,Ddx19a,chr8
5144,Ddx19b,chr8
5146,Ddx1,chr12
5148,Ddx20,chr3
5150,Ddx21,chr10
5152,Ddx23,chr15
5154,Ddx24,chr12
5156,Ddx25,chr9
5158,Ddx26b,chrX
5160,Ddx27,chr2
5162,Ddx28,chr8
5164,Ddx31,chr2
5166,Ddx39,chr8
5168,Ddx3x,chrX
5170,Ddx41,chr13
5172,Ddx42,chr11
5174,Ddx46,chr13
5176,Ddx47,chr6
5178,Ddx50,chr10
5180,Ddx51,chr5
5182,Ddx52,chr11
5184,Ddx54,chr5
5186,Ddx55,chr5
5188,Ddx56,chr11
5190,Ddx58,chr4
5192,Ddx59,chr1
5194,Ddx6,chr9
5196,Deaf1,chr7
5198,Decr1,chr4
5200,Decr2,chr17
5202,Dedd,chr1
5204,Def6,chr17
5206,Def8,chr8
5208,Degs2,chr12
5210,Dek,chr13
5212,Dennd1a,chr2
5214,Dennd1b,chr1
5216,Dennd2a,chr6
5218,Dennd2c,chr3
5220,Dennd3,chr15
5222,Dennd4a,chr9
5224,Dennd4b,chr3
5226,Dennd4c,chr4
5228,Dennd5a,chr7
5230,Dennd5b,chr6
5232,Denr,chr5
5234,Depdc1b,chr13
5236,Depdc5,chr5
5238,Depdc7,chr2
5240,Deptor,chr15
5242,Dera,chr6
5244,Derl1,chr15
5246,Derl2,chr11
5248,Des,chr1
5250,Det1,chr7
5252,Dexi,chr16
5254,Dffa,chr4
5256,Dffb,chr4
5258,Dfna5,chr6
5260,Dgcr14,chr16
5262,Dgcr2,chr16
5264,Dgcr8,chr16
5266,Dgka,chr10
5268,Dgkd,chr1
5270,Dgkh,chr14
5272,Dgkq,chr5
5274,Dguok,chr6
5276,Dhcr24,chr4
5278,Dhcr7,chr7
5280,Dhdds,chr4
5282,Dhdh,chr7
5284,Dhfr,chr13
5286,Dhodh,chr8
5288,Dhps,chr8
5290,Dhrs11,chr11
5292,Dhrs13,chr11
5294,Dhrs1,chr14
5296,Dhrs3,chr4
5298,Dhrs4,chr14
5300,Dhrs7,chr12
5302,Dhrs7b,chr11
5304,Dhrs9,chr2
5306,Dhtkd1,chr2
5308,Dhx15,chr5
5310,Dhx16,chr17
5312,Dhx29,chr13
5314,Dhx30,chr9
5316,Dhx32,chr7
5318,Dhx33,chr11
5320,Dhx34,chr7
5322,Dhx35,chr2
5324,Dhx37,chr5
5326,Dhx38,chr8
5328,Dhx40,chr11
5330,Dhx57,chr17
5332,Dhx58,chr11
5334,Dhx8,chr11
5336,Dhx9,chr1
5338,Diablo,chr5
5340,Diap1,chr18
5342,Diap2,chrX
5344,Diap3,chr14
5346,Dicer1,chr12
5348,Dido1,chr2
5350,Diexf,chr1
5352,Dimt1,chr13
5354,Dio3,chr12
5356,Dio3os,chr12
5358,Dip2a,chr10
5360,Dip2b,chr15
5362,Dip2c,chr13
5364,Dirc2,chr16
5366,Dis3,chr14
5368,Dis3l2,chr1
5370,Dis3l,chr9
5372,Dixdc1,chr9
5374,Dkc1,chrX
5376,Dkk2,chr3
5378,Dkk3,chr7
5380,Dkkl1,chr7
5382,Dlat,chr9
5384,Dlc1,chr8
5386,Dld,chr12
5388,Dleu2,chr14
5390,Dlg1,chr16
5392,Dlg3,chrX
5394,Dlg4,chr11
5396,Dlg5,chr14
5398,Dlgap1,chr17
5400,Dlgap4,chr2
5402,Dlgap5,chr14
5404,Dlk1,chr12
5406,Dlk2,chr17
5408,Dll3,chr7
5410,Dlst,chr12
5412,Dlx1,chr2
5414,Dlx2,chr2
5416,Dlx3,chr11
5418,Dlx4,chr11
5420,Dmd,chrX
5422,Dmkn,chr7
5424,Dmpk,chr7
5426,Dmrt2,chr19
5428,Dmtf1,chr5
5430,Dmwd,chr7
5432,Dmxl1,chr18
5434,Dmxl2,chr9
5436,Dna2,chr10
5438,Dnaja1,chr4
5440,Dnaja2,chr8
5442,Dnaja3,chr16
5444,Dnaja4,chr9
5446,Dnajb11,chr16
5448,Dnajb12,chr10
5450,Dnajb14,chr3
5452,Dnajb1,chr8
5454,Dnajb2,chr1
5456,Dnajb4,chr3
5458,Dnajb5,chr4
5460,Dnajb7,chr15
5462,Dnajb9,chr12
5464,Dnajc10,chr2
5466,Dnajc11,chr4
5468,Dnajc12,chr10
5470,Dnajc13,chr9
5472,Dnajc14,chr10
5474,Dnajc16,chr4
5476,Dnajc17,chr2
5478,Dnajc18,chr18
5480,Dnajc19,chr3
5482,Dnajc1,chr2
5484,Dnajc21,chr15
5486,Dnajc22,chr15
5488,Dnajc24,chr2
5490,Dnajc25,chr4
5492,Dnajc27,chr12
5494,Dnajc28,chr16
5496,Dnajc2,chr5
5498,Dnajc3,chr14
5500,Dnajc4,chr19
5502,Dnajc5,chr2
5504,Dnajc7,chr11
5506,Dnajc8,chr4
5508,Dnajc9,chr14
5510,Dnase1l1,chrX
5512,Dnase1l2,chr17
5514,Dnase1l3,chr14
5516,Dnase2a,chr8
5518,Dnd1,chr18
5520,Dner,chr1
5522,Dnlz,chr2
5524,Dnm1l,chr16
5526,Dnm2,chr9
5528,Dnm3,chr1
5530,Dnm3os,chr1
5532,Dnmbp,chr19
5534,Dnmt1,chr9
5536,Dnmt3a,chr12
5538,Dnmt3b,chr2
5540,Dnmt3l,chr10
5542,Dnpep,chr1
5544,Dnttip1,chr2
5546,Dnttip2,chr3
5548,Doc2a,chr7
5550,Doc2g,chr19
5552,Dock10,chr1
5554,Dock11,chrX
5556,Dock1,chr7
5558,Dock2,chr11
5560,Dock5,chr14
5562,Dock6,chr9
5564,Dock7,chr4
5566,Dock8,chr19
5568,Dock9,chr14
5570,Dok1,chr6
5572,Dok2,chr14
5574,Dok4,chr8
5576,Dok5,chr2
5578,Dolpp1,chr2
5580,Donson,chr16
5582,Dopey1,chr9
5584,Dopey2,chr16
5586,Dot1l,chr10
5588,Dpcd,chr19
5590,Dpep1,chr8
5592,Dpf1,chr7
5594,Dpf2,chr19
5596,Dph1,chr11
5598,Dph2,chr4
5600,Dph3,chr14
5602,Dph5,chr3
5604,Dpp3,chr19
5606,Dpp7,chr2
5608,Dpp8,chr9
5610,Dpp9,chr17
5612,Dpt,chr1
5614,Dpy19l1,chr9
5616,Dpy19l3,chr7
5618,Dpy19l4,chr4
5620,Dpy30,chr17
5622,Dpysl2,chr14
5624,Dpysl3,chr18
5626,Dpysl4,chr7
5628,Dr1,chr5
5630,Dram1,chr10
5632,Dram2,chr3
5634,Drap1,chr19
5636,Drg1,chr11
5638,Drg2,chr11
5640,Drosha,chr15
5642,Dsc2,chr18
5644,Dscc1,chr15
5646,Dscr3,chr16
5648,Dse,chr10
5650,Dsel,chr1
5652,Dsn1,chr2
5654,Dsp,chr13
5656,Dst,chr1
5658,Dstn,chr2
5660,Dstyk,chr1
5662,Dtd1,chr2
5664,Dtl,chr1
5666,Dtna,chr18
5668,Dtnb,chr12
5670,Dtnbp1,chr13
5672,Dtwd1,chr2
5674,Dtwd2,chr18
5676,Dtx2,chr5
5678,Dtx3,chr10
5680,Dtx3l,chr16
5682,Dtx4,chr19
5684,Dtymk,chr1
5686,Duoxa1,chr2
5688,Dus1l,chr11
5690,Dus3l,chr17
5692,Dus4l,chr12
5694,Dusp10,chr1
5696,Dusp11,chr6
5698,Dusp12,chr1
5700,Dusp14,chr11
5702,Dusp15,chr2
5704,Dusp16,chr6
5706,Dusp18,chr11
5708,Dusp19,chr2
5710,Dusp1,chr17
5712,Dusp23,chr1
5714,Dusp28,chr1
5716,Dusp2,chr2
5718,Dusp3,chr11
5720,Dusp4,chr8
5722,Dusp6,chr10
5724,Dusp7,chr9
5726,Dusp8,chr7
5728,Dusp9,chrX
5730,Dut,chr2
5732,Dvl1,chr4
5734,Dvl3,chr16
5736,Dydc2,chr14
5738,Dym,chr18
5740,Dync1h1,chr12
5742,Dync1i1,chr6
5744,Dync1i2,chr2
5746,Dync1li1,chr9
5748,Dync1li2,chr8
5750,Dync2h1,chr9
5752,Dync2li1,chr17
5754,Dynll1,chr5
5756,Dynll2,chr11
5758,Dynlrb1,chr2
5760,Dyrk1a,chr16
5762,Dyrk1b,chr7
5764,Dyrk2,chr10
5766,Dyrk3,chr1
5768,Dysf,chr6
5770,Dyx1c1,chr9
5772,Dzip1,chr14
5774,Dzip1l,chr9
5776,Dzip3,chr16
5778,E030003E18Rik,chr19
5780,E030011O05Rik,chr9
5782,E030024N20Rik,chr19
5784,E130012A19Rik,chr11
5786,E130112N10Rik,chr6
5788,E130307A14Rik,chr10
5790,E130308A19Rik,chr4
5792,E130309D02Rik,chr5
5794,E130311K13Rik,chr3
5796,E130317F20Rik,chr10
5798,E230008N13Rik,chr4
5800,E230016M11Rik,chr6
5802,E2f1,chr2
5804,E2f2,chr4
5806,E2f3,chr13
5808,E2f4,chr8
5810,E2f5,chr3
5812,E2f6,chr12
5814,E2f7,chr10
5816,E2f8,chr7
5818,E330013P04Rik,chr19
5820,E330033B04Rik,chr15
5822,E430025E21Rik,chr15
5824,E4f1,chr17
5826,E530011L22Rik,chr9
5828,Eaf1,chr14
5830,Eapp,chr12
5832,Ears2,chr7
5834,Ebag9,chr15
5836,Ebf1,chr11
5838,Ebf2,chr14
5840,Ebf3,chr7
5842,Ebf4,chr2
5844,Ebna1bp2,chr4
5846,Ebp,chrX
5848,Ebpl,chr14
5850,Ecd,chr14
5852,Ece1,chr4
5854,Ece2,chr16
5856,Ecel1,chr1
5858,Ech1,chr7
5860,Echdc1,chr10
5862,Echdc2,chr4
5864,Echdc3,chr2
5866,Echs1,chr7
5868,Eci1,chr17
5870,Eci2,chr13
5872,Eci3,chr13
5874,Ecm1,chr3
5876,Ecm2,chr13
5878,Ecscr,chr18
5880,Ecsit,chr9
5882,Eda2r,chrX
5884,Eda,chrX
5886,Edc3,chr9
5888,Edc4,chr8
5890,Edem1,chr6
5892,Edem2,chr2
5894,Edem3,chr1
5896,Edil3,chr13
5898,Edn1,chr13
5900,Ednra,chr8
5902,Eea1,chr10
5904,Eed,chr7
5906,Eef1b2,chr1
5908,Eef1d,chr15
5910,Eef1e1,chr13
5912,Eef1g,chr19
5914,Eef2k,chr7
5916,Eefsec,chr6
5918,Efcab2,chr1
5920,Efcab7,chr4
5922,Efemp1,chr11
5924,Efemp2,chr19
5926,Efhc1,chr1
5928,Efhd1,chr1
5930,Efhd2,chr4
5932,Efna1,chr3
5934,Efna2,chr10
5936,Efna4,chr3
5938,Efna5,chr17
5940,Efnb1,chrX
5942,Efnb2,chr8
5944,Efr3a,chr15
5946,Efs,chr14
5948,Eftud1,chr7
5950,Eftud2,chr11
5952,Egf,chr3
5954,Egfl7,chr2
5956,Egfr,chr11
5958,Egln1,chr8
5960,Egln2,chr7
5962,Egln3,chr12
5964,Egr1,chr18
5966,Egr2,chr10
5968,Ehbp1,chr11
5970,Ehbp1l1,chr19
5972,Ehd2,chr7
5974,Ehd3,chr17
5976,Ehd4,chr2
5978,Ehhadh,chr16
5980,Ehmt1,chr2
5982,Ehmt2,chr17
5984,Ei24,chr9
5986,Eid1,chr2
5988,Eid2,chr7
5990,Eid2b,chr7
5992,Eid3,chr10
5994,Eif1ad,chr19
5996,Eif1ax,chrX
5998,Eif1b,chr9
6000,Eif2a,chr3
6002,Eif2ak1,chr5
6004,Eif2ak2,chr17
6006,Eif2ak3,chr6
6008,Eif2ak4,chr2
6010,Eif2b1,chr5
6012,Eif2b2,chr12
6014,Eif2b3,chr4
6016,Eif2b4,chr5
6018,Eif2b5,chr16
6020,Eif2d,chr1
6022,Eif2s1,chr12
6024,Eif2s2,chr2
6026,Eif3a,chr19
6028,Eif3b,chr5
6030,Eif3c,chr7
6032,Eif3d,chr15
6034,Eif3e,chr15
6036,Eif3f,chr7
6038,Eif3g,chr9
6040,Eif3h,chr15
6042,Eif3i,chr4
6044,Eif3k,chr7
6046,Eif3l,chr15
6048,Eif3m,chr2
6050,Eif4a2,chr16
6052,Eif4a3,chr11
6054,Eif4b,chr15
6056,Eif4e2,chr1
6058,Eif4e3,chr6
6060,Eif4e,chr3
6062,Eif4ebp1,chr8
6064,Eif4ebp2,chr10
6066,Eif4enif1,chr11
6068,Eif4g1,chr16
6070,Eif4g2,chr7
6072,Eif4g3,chr4
6074,Eif4h,chr5
6076,Eif5,chr12
6078,Eif5a2,chr3
6080,Eif6,chr2
6082,Elac1,chr18
6084,Elac2,chr11
6086,Elavl1,chr8
6088,Elf1,chr14
6090,Elf2,chr3
6092,Elf4,chrX
6094,Elfn1,chr5
6096,Elk1,chrX
6098,Elk3,chr10
6100,Elk4,chr1
6102,Ell2,chr13
6104,Ell3,chr2
6106,Ell,chr8
6108,Elmo1,chr13
6110,Elmo2,chr2
6112,Elmo3,chr8
6114,Elmod2,chr8
6116,Elmod3,chr6
6118,Elovl1,chr4
6120,Elovl4,chr9
6122,Elovl5,chr9
6124,Elovl6,chr3
6126,Elovl7,chr13
6128,Elp2,chr18
6130,Elp3,chr14
6132,Elp4,chr2
6134,Emb,chr13
6136,Emd,chrX
6138,Eme1,chr11
6140,Emg1,chr6
6142,Emid1,chr11
6144,Emilin1,chr5
6146,Emilin2,chr17
6148,Eml1,chr12
6150,Eml2,chr7
6152,Eml3,chr19
6154,Eml4,chr17
6156,Eml5,chr12
6158,Eml6,chr11
6160,Emp1,chr6
6162,Emp2,chr16
6164,Emp3,chr7
6166,Emx2,chr19
6168,Emx2os,chr19
6170,En1,chr1
6172,Enah,chr1
6174,Enc1,chr13
6176,Endod1,chr9
6178,Endog,chr2
6180,Eng,chr2
6182,Engase,chr11
6184,Enkur,chr2
6186,Eno1,chr4
6188,Eno2,chr6
6190,Eno3,chr11
6192,Enoph1,chr5
6194,Enox1,chr14
6196,Enox2,chrX
6198,Enpep,chr3
6200,Enpp1,chr10
6202,Enpp2,chr15
6204,Enpp4,chr17
6206,Enpp5,chr17
6208,Enpp6,chr8
6210,Ensa,chr3
6212,Entpd1,chr19
6214,Entpd2,chr2
6216,Entpd4,chr14
6218,Entpd5,chr12
6220,Entpd6,chr2
6222,Entpd7,chr19
6224,Eomes,chr9
6226,Ep300,chr15
6228,Ep400,chr5
6230,Epas1,chr17
6232,Epb4.1,chr4
6234,Epb4.1l1,chr2
6236,Epb4.1l2,chr10
6238,Epb4.1l3,chr17
6240,Epb4.1l4a,chr18
6242,Epb4.1l4b,chr4
6244,Epb4.1l5,chr1
6246,Epc1,chr18
6248,Epc2,chr2
6250,Epdr1,chr13
6252,Epha1,chr6
6254,Epha2,chr4
6256,Epha3,chr16
6258,Epha4,chr1
6260,Epha7,chr4
6262,Ephb2,chr4
6264,Ephb3,chr16
6266,Ephb4,chr5
6268,Ephb6,chr6
6270,Ephx1,chr1
6272,Ephx2,chr14
6274,Epm2aip1,chr9
6276,Epn1,chr7
6278,Epn2,chr11
6280,Eprs,chr1
6282,Eps15,chr4
6284,Eps8,chr6
6286,Eps8l1,chr7
6288,Eps8l2,chr7
6290,Ept1,chr5
6292,Eral1,chr11
6294,Erap1,chr13
6296,Erbb2,chr11
6298,Erbb2ip,chr13
6300,Erc1,chr6
6302,Erc2,chr14
6304,Ercc1,chr7
6306,Ercc2,chr7
6308,Ercc3,chr18
6310,Ercc4,chr16
6312,Ercc5,chr1
6314,Ercc6,chr14
6316,Ercc6l,chrX
6318,Ercc8,chr13
6320,Ereg,chr5
6322,Ergic1,chr17
6324,Ergic2,chr6
6326,Ergic3,chr2
6328,Eri1,chr8
6330,Eri2,chr7
6332,Eri3,chr4
6334,Erich1,chr8
6336,Erlec1,chr11
6338,Erlin1,chr19
6340,Erlin2,chr8
6342,Ermp1,chr19
6344,Ern1,chr11
6346,Ero1l,chr14
6348,Ero1lb,chr13
6350,Erp29,chr5
6352,Erp44,chr4
6354,Esco1,chr18
6356,Esco2,chr14
6358,Esd,chr14
6360,Esf1,chr2
6362,Esm1,chr13
6364,Espl1,chr15
6366,Espn,chr4
6368,Esrra,chr19
6370,Esyt1,chr10
6372,Esyt2,chr12
6374,Etaa1,chr11
6376,Etf1,chr18
6378,Etfa,chr9
6380,Etfb,chr7
6382,Etfdh,chr3
6384,Ethe1,chr7
6386,Etl4,chr2
6388,Etnk1,chr6
6390,Etohd2,chr13
6392,Ets1,chr9
6394,Ets2,chr16
6396,Etv3,chr3
6398,Etv4,chr11
6400,Etv5,chr16
6402,Etv6,chr6
6404,Evc2,chr5
6406,Evc,chr5
6408,Evi2a,chr11
6410,Evi2b,chr11
6412,Evi5,chr5
6414,Evi5l,chr8
6416,Evl,chr12
6418,Ewsr1,chr11
6420,Exd1,chr2
6422,Exd2,chr12
6424,Exo1,chr1
6426,Exoc1,chr5
6428,Exoc2,chr13
6430,Exoc3,chr13
6432,Exoc3l,chr8
6434,Exoc4,chr6
6436,Exoc5,chr14
6438,Exoc6,chr19
6440,Exoc7,chr11
6442,Exoc8,chr8
6444,Exosc10,chr4
6446,Exosc1,chr19
6448,Exosc4,chr15
6450,Exosc5,chr7
6452,Exosc7,chr9
6454,Exosc8,chr3
6456,Exosc9,chr3
6458,Ext1,chr15
6460,Ext2,chr2
6462,Extl1,chr4
6464,Extl2,chr3
6466,Extl3,chr14
6468,Eya1,chr1
6470,Eya3,chr4
6472,Eya4,chr10
6474,Ezh1,chr11
6476,Ezh2,chr6
6478,Ezr,chr17
6480,F11r,chr1
6482,F2r,chr13
6484,F2rl1,chr13
6486,F3,chr3
6488,F5,chr1
6490,F730043M19Rik,chr12
6492,F7,chr8
6494,F8,chrX
6496,F8a,chrX
6498,Fabp4,chr3
6500,Fabp5,chr3
6502,Fabp7,chr10
6504,Fadd,chr7
6506,Fads1,chr19
6508,Fads2,chr19
6510,Fads3,chr19
6512,Faf1,chr4
6514,Faf2,chr13
6516,Fah,chr7
6518,Fahd2a,chr2
6520,Fam101b,chr11
6522,Fam102b,chr3
6524,Fam103a1,chr7
6526,Fam105a,chr15
6528,Fam107b,chr2
6530,Fam109a,chr5
6532,Fam110a,chr2
6534,Fam110b,chr4
6536,Fam110c,chr12
6538,Fam111a,chr19
6540,Fam114a1,chr5
6542,Fam114a2,chr11
6544,Fam115a,chr6
6546,Fam115c,chr6
6548,Fam117a,chr11
6550,Fam117b,chr1
6552,Fam118a,chr15
6554,Fam118b,chr9
6556,Fam120a,chr13
6558,Fam120b,chr17
6560,Fam120c,chrX
6562,Fam122b,chrX
6564,Fam126a,chr5
6566,Fam126b,chr1
6568,Fam129a,chr1
6570,Fam129b,chr2
6572,Fam129c,chr8
6574,Fam131a,chr16
6576,Fam131b,chr6
6578,Fam132a,chr4
6580,Fam132b,chr1
6582,Fam133b,chr5
6584,Fam134a,chr1
6586,Fam134b,chr15
6588,Fam134c,chr11
6590,Fam135a,chr1
6592,Fam136a,chr6
6594,Fam13a,chr6
6596,Fam13b,chr18
6598,Fam13c,chr10
6600,Fam149a,chr8
6602,Fam149b,chr14
6604,Fam150a,chr1
6606,Fam154b,chr7
6608,Fam160a1,chr3
6610,Fam160a2,chr7
6612,Fam160b1,chr19
6614,Fam160b2,chr14
6616,Fam161a,chr11
6618,Fam161b,chr12
6620,Fam162a,chr16
6622,Fam167a,chr14
6624,Fam168a,chr7
6626,Fam168b,chr1
6628,Fam171a1,chr2
6630,Fam171b,chr2
6632,Fam172a,chr13
6634,Fam173b,chr15
6636,Fam174a,chr1
6638,Fam174b,chr7
6640,Fam175a,chr5
6642,Fam175b,chr7
6644,Fam178a,chr19
6646,Fam178b,chr1
6648,Fam179b,chr12
6650,Fam185a,chr5
6652,Fam188a,chr2
6654,Fam188b,chr6
6656,Fam189a2,chr19
6658,Fam189b,chr3
6660,Fam192a,chr8
6662,Fam193a,chr5
6664,Fam193b,chr13
6666,Fam196a,chr7
6668,Fam198b,chr3
6670,Fam199x,chrX
6672,Fam203a,chr15
6674,Fam20a,chr11
6676,Fam20b,chr1
6678,Fam20c,chr5
6680,Fam26e,chr10
6682,Fam32a,chr8
6684,Fam35a,chr14
6686,Fam3a,chrX
6688,Fam3c,chr6
6690,Fam43a,chr16
6692,Fam45a,chr19
6694,Fam46a,chr9
6696,Fam46b,chr4
6698,Fam49a,chr12
6700,Fam49b,chr15
6702,Fam50a,chrX
6704,Fam53a,chr5
6706,Fam53b,chr7
6708,Fam53c,chr18
6710,Fam57b,chr7
6712,Fam63a,chr3
6714,Fam63b,chr9
6716,Fam64a,chr11
6718,Fam65a,chr8
6720,Fam65b,chr13
6722,Fam65c,chr2
6724,Fam69a,chr5
6726,Fam69b,chr2
6728,Fam72a,chr1
6730,Fam73a,chr3
6732,Fam73b,chr2
6734,Fam76a,chr4
6736,Fam76b,chr9
6738,Fam81a,chr9
6740,Fam83d,chr2
6742,Fam83f,chr15
6744,Fam83g,chr11
6746,Fam83h,chr15
6748,Fam84a,chr12
6750,Fam84b,chr15
6752,Fam86,chr16
6754,Fam89a,chr8
6756,Fam89b,chr19
6758,Fam92a,chr4
6760,Fam96a,chr9
6762,Fam96b,chr8
6764,Fam98a,chr17
6766,Fam98b,chr2
6768,Fam98c,chr7
6770,Fan1,chr7
6772,Fanca,chr8
6774,Fancb,chrX
6776,Fancc,chr13
6778,Fancd2,chr6
6780,Fance,chr17
6782,Fancf,chr7
6784,Fancg,chr4
6786,Fanci,chr7
6788,Fancl,chr11
6790,Fancm,chr12
6792,Fap,chr2
6794,Far1,chr7
6796,Far2,chr6
6798,Farp1,chr14
6800,Farp2,chr1
6802,Fars2,chr13
6804,Farsa,chr8
6806,Farsb,chr1
6808,Fas,chr19
6810,Fasn,chr11
6812,Fastk,chr5
6814,Fastkd1,chr2
6816,Fastkd2,chr1
6818,Fastkd3,chr13
6820,Fastkd5,chr2
6822,Fat1,chr8
6824,Fat4,chr3
6826,Fbf1,chr11
6828,Fbl,chr7
6830,Fblim1,chr4
6832,Fbln1,chr15
6834,Fbln2,chr6
6836,Fbln5,chr12
6838,Fbln7,chr2
6840,Fbn1,chr2
6842,Fbn2,chr18
6844,Fbrsl1,chr5
6846,Fbxl12,chr9
6848,Fbxl13,chr5
6850,Fbxl14,chr6
6852,Fbxl16,chr17
6854,Fbxl17,chr17
6856,Fbxl18,chr5
6858,Fbxl19,chr7
6860,Fbxl20,chr11
6862,Fbxl21,chr13
6864,Fbxl2,chr9
6866,Fbxl3,chr14
6868,Fbxl4,chr4
6870,Fbxl5,chr5
6872,Fbxl6,chr15
6874,Fbxl7,chr15
6876,Fbxl8,chr8
6878,Fbxo10,chr4
6880,Fbxo11,chr17
6882,Fbxo15,chr18
6884,Fbxo17,chr7
6886,Fbxo18,chr2
6888,Fbxo21,chr5
6890,Fbxo22,chr9
6892,Fbxo24,chr5
6894,Fbxo25,chr8
6896,Fbxo27,chr7
6898,Fbxo28,chr1
6900,Fbxo30,chr10
6902,Fbxo31,chr8
6904,Fbxo32,chr15
6906,Fbxo33,chr12
6908,Fbxo34,chr14
6910,Fbxo36,chr1
6912,Fbxo38,chr18
6914,Fbxo3,chr2
6916,Fbxo42,chr4
6918,Fbxo44,chr4
6920,Fbxo45,chr16
6922,Fbxo46,chr7
6924,Fbxo48,chr11
6926,Fbxo4,chr15
6928,Fbxo6,chr4
6930,Fbxo7,chr10
6932,Fbxo8,chr8
6934,Fbxo9,chr9
6936,Fbxw11,chr11
6938,Fbxw17,chr13
6940,Fbxw2,chr2
6942,Fbxw4,chr19
6944,Fbxw5,chr2
6946,Fbxw7,chr3
6948,Fbxw8,chr5
6950,Fbxw9,chr8
6952,Fcf1,chr12
6954,Fcgrt,chr7
6956,Fcho2,chr13
6958,Fchsd1,chr18
6960,Fchsd2,chr7
6962,Fdft1,chr14
6964,Fdps,chr3
6966,Fdx1,chr9
6968,Fdxacb1,chr9
6970,Fdxr,chr11
6972,Fech,chr18
6974,Fem1a,chr17
6976,Fem1b,chr9
6978,Fem1c,chr18
6980,Fen1,chr19
6982,Fermt2,chr14
6984,Fermt3,chr19
6986,Fert2,chr17
6988,Fes,chr7
6990,Fetub,chr16
6992,Fez1,chr9
6994,Fez2,chr17
6996,Fgd1,chrX
6998,Fgd3,chr13
7000,Fgd4,chr16
7002,Fgd6,chr10
7004,Fgf10,chr13
7006,Fgf18,chr11
7008,Fgf1,chr18
7010,Fgf2,chr3
7012,Fgf5,chr5
7014,Fgf7,chr2
7016,Fgfbp3,chr19
7018,Fgfr1,chr8
7020,Fgfr1op2,chr6
7022,Fgfr1op,chr17
7024,Fgfr2,chr7
7026,Fgfr3,chr5
7028,Fgfrl1,chr5
7030,Fggy,chr4
7032,Fgl2,chr5
7034,Fh1,chr1
7036,Fhdc1,chr3
7038,Fhit,chr14
7040,Fhl1,chrX
7042,Fhl2,chr1
7044,Fhl3,chr4
7046,Fhod1,chr8
7048,Fhod3,chr18
7050,Fibin,chr2
7052,Fibp,chr19
7054,Ficd,chr5
7056,Fig4,chr10
7058,Figf,chrX
7060,Fign,chr2
7062,Fignl1,chr11
7064,Filip1l,chr16
7066,Fip1l1,chr5
7068,Fis1,chr5
7070,Fitm2,chr2
7072,Fiz1,chr7
7074,Fjx1,chr2
7076,Fkbp10,chr11
7078,Fkbp11,chr15
7080,Fkbp14,chr6
7082,Fkbp15,chr4
7084,Fkbp1a,chr2
7086,Fkbp3,chr12
7088,Fkbp4,chr6
7090,Fkbp5,chr17
7092,Fkbp7,chr2
7094,Fkbp8,chr8
7096,Fkbp9,chr6
7098,Fkrp,chr7
7100,Fktn,chr4
7102,Flcn,chr11
7104,Fli1,chr9
7106,Flii,chr11
7108,Flna,chrX
7110,Flnb,chr14
7112,Flnc,chr6
7114,Flot2,chr11
7116,Flrt1,chr19
7118,Flrt2,chr12
7120,Flrt3,chr2
7122,Flt1,chr5
7124,Flt3l,chr7
7126,Flt4,chr11
7128,Flywch1,chr17
7130,Fmn1,chr2
7132,Fmn2,chr1
7134,Fmnl1,chr11
7136,Fmnl2,chr2
7138,Fmnl3,chr15
7140,Fmo5,chr3
7142,Fmod,chr1
7144,Fmr1,chrX
7146,Fn1,chr1
7148,Fn3krp,chr11
7150,Fnbp1,chr2
7152,Fnbp1l,chr3
7154,Fnbp4,chr2
7156,Fndc3a,chr14
7158,Fndc3b,chr3
7160,Fndc4,chr5
7162,Fndc5,chr4
7164,Fnip1,chr11
7166,Fnip2,chr3
7168,Fnta,chr8
7170,Fntb,chr12
7172,Folr1,chr7
7174,Folr2,chr7
7176,Fos,chr12
7178,Fosb,chr7
7180,Fosl1,chr19
7182,Fosl2,chr5
7184,Foxc1,chr13
7186,Foxc2,chr8
7188,Foxf2,chr13
7190,Foxj2,chr6
7192,Foxj3,chr4
7194,Foxk1,chr5
7196,Foxk2,chr11
7198,Foxl1,chr8
7200,Foxm1,chr6
7202,Foxn2,chr17
7204,Foxn3,chr12
7206,Foxo1,chr3
7208,Foxo3,chr10
7210,Foxo4,chrX
7212,Foxp1,chr6
7214,Foxp2,chr6
7216,Foxp4,chr17
7218,Foxq1,chr13
